Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract_Yrs,Total_Salary,Salary
Carlos Santana,2017,Indians,154,571,667,148,85,37,3,23,90,79,88,6,94,13.2,14.1,0.94,0.27399999999999997,6,2,0,11,5,1,-7.3,0.196,0.35,16.5,0.259,0.363,0.455,0.818,3.0,117.0,0.56,3,60000000,20000000.0
Chris Iannetta,2017,Diamondbacks,89,272,316,69,33,19,0,17,38,43,37,0,87,11.7,27.5,0.43,0.308,6,1,0,3,0,0,5.4,0.257,0.36700000000000005,12.3,0.254,0.354,0.511,0.865,2.2,120.0,1.32,2,8500000,4250000.0
Jay Bruce,2017,Indians,146,555,617,141,74,29,2,36,82,101,57,0,139,9.2,22.5,0.41,0.27399999999999997,2,3,0,11,1,1,-5.6,0.254,0.35,15.1,0.254,0.324,0.508,0.8320000000000001,2.7,118.0,2.14,3,39000000,13000000.0
Leonys Martin,2017,Cubs,49,128,138,22,15,3,1,3,14,9,8,1,33,5.8,23.9,0.24,0.207,2,0,0,2,7,4,2.1,0.109,0.22399999999999998,-11.3,0.172,0.23199999999999998,0.281,0.513,-0.4,35.0,-0.92,1,1750000,1750000.0
Matt Adams,2017,Braves,131,339,367,93,50,22,1,20,46,65,23,5,88,6.3,24.0,0.26,0.311,1,4,0,5,0,0,-2.3,0.248,0.34600000000000003,7.8,0.27399999999999997,0.319,0.522,0.841,1.6,112.0,0.68,1,4000000,4000000.0
Mitch Moreland,2017,Red Sox,149,508,576,125,69,34,0,22,73,79,57,6,120,9.9,20.8,0.48,0.278,6,5,0,14,0,1,-7.0,0.19699999999999998,0.326,2.3,0.24600000000000002,0.326,0.44299999999999995,0.769,0.9,98.0,0.58,2,13000000,6500000.0
Nick Hundley,2017,Giants,101,287,303,70,38,23,0,9,27,35,12,2,81,4.0,26.7,0.15,0.307,0,2,2,6,0,0,4.1,0.174,0.289,-8.2,0.244,0.272,0.418,0.691,0.4,78.0,-0.64,1,2500000,2500000.0
Rene Rivera,2017,Cubs,74,218,237,55,36,9,0,10,23,35,14,3,70,5.9,29.5,0.2,0.324,3,1,1,4,0,1,7.6,0.179,0.31,-2.2,0.252,0.305,0.431,0.736,1.0,91.0,-0.55,1,2800000,2800000.0
Welington Castillo,2017,Orioles,96,341,365,96,65,11,0,20,44,53,22,0,97,6.0,26.6,0.23,0.336,0,2,0,10,0,0,10.8,0.20800000000000002,0.344,7.0,0.282,0.32299999999999995,0.49,0.813,2.7,113.0,1.72,2,15000000,7500000.0
Yonder Alonso,2017,Mariners,142,451,521,120,70,22,0,28,72,67,68,6,118,13.1,22.6,0.58,0.302,2,0,0,9,2,0,-12.0,0.235,0.366,19.7,0.266,0.365,0.501,0.866,2.4,132.0,2.72,2,16000000,8000000.0
Zack Cozart,2017,Reds,122,438,507,130,75,24,7,24,80,63,62,0,78,12.2,15.4,0.79,0.312,3,4,0,5,3,0,8.6,0.251,0.392,30.5,0.297,0.385,0.5479999999999999,0.9329999999999999,5.0,141.0,2.27,3,38000000,12666666.666666664
